File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\executor\StoredExecutorCommand.java,77,46,32,13,13,0,18,46,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\executor\os\OSProvider.java,41,24,17,2,4,0,13,60,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\executor\os\OSWindows.java,288,246,149,38,27,0,15,49,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\executor\os\OSWindowsv2.java,331,280,171,42,36,0,15,49,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\executor\os\RunnableBrowserTask.java,43,26,21,0,8,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\executor\os\RunnableDesktopOpenTask.java,39,23,18,0,7,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\executor\os\RunnableRuntimeCommandTask.java,38,21,16,0,8,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\innerio\Gui.java,38,8,7,0,7,0,23,107,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\innerio\IoInnerModuleWorker.java,186,152,105,13,18,0,16,89,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\innerio\IoInnerModuleWorkerBuilder.java,39,21,17,1,7,0,11,42,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\innerio\javafxgui\GuiJavaFX.java,73,51,29,0,13,0,9,30,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\innerio\javafxgui\JavaFXGuiLauncher.java,41,22,16,1,8,0,11,50,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\innerio\javafxgui\WindowController.java,114,80,63,8,19,0,15,104,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\innerio\javafxgui\WindowPosition.java,59,39,27,12,11,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\innerio\javafxgui\WindowsBuilder.java,31,16,6,0,6,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\innerio\javafxgui\WindowSettingsProvider.java,102,75,41,11,18,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\innerio\javafxgui\window\BeamWindow.java,150,116,91,7,25,0,9,37,0,0
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\innerio\javafxgui\window\NotificationWindow.java,23,8,6,0,6,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\innerio\javafxgui\window\PopupWindow.java,106,77,56,5,20,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\innerio\javafxgui\window\TaskWindow.java,90,61,51,2,21,0,8,13,4,7
